               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073384,            0.021894,            0.065578,            0.099011,             0.65346,             0.15604,            0.085988,            0.034871,           0.0065192,            0.046715,           0.0033228,           0.0033228,            0.070095
                   1,            0.046649,            0.018009,            0.057652,             0.23845,             0.60116,             0.37152,             0.21938,            0.028186,           0.0054735,            0.038733,           0.0065243,           0.0065243,            0.039963
                   2,            0.044453,            0.016865,            0.049054,                0.32,             0.67152,             0.50518,             0.37321,            0.030792,           0.0052302,            0.032281,           0.0095939,           0.0095939,           0.0096994
                   3,            0.039673,            0.015758,            0.042841,             0.56956,             0.69475,             0.69326,             0.52883,            0.025356,           0.0046984,            0.027018,            0.009406,            0.009406,            0.009406
                   4,            0.035669,             0.01533,            0.037985,             0.64771,              0.7469,             0.74721,              0.5587,            0.024396,           0.0045558,            0.024009,            0.009406,            0.009406,            0.009406
                   5,            0.034042,            0.015224,            0.035117,             0.67721,             0.75089,             0.77087,             0.59647,            0.021969,           0.0045752,            0.021529,            0.009208,            0.009208,            0.009208
                   6,            0.031459,            0.014636,            0.032876,             0.76319,             0.75298,             0.81265,             0.62631,            0.021893,           0.0043435,             0.01858,             0.00901,             0.00901,             0.00901
                   7,            0.031094,            0.014685,            0.030971,             0.78758,             0.79116,             0.83534,              0.6642,            0.020532,            0.004333,            0.017715,            0.008812,            0.008812,            0.008812
                   8,            0.030378,            0.014165,            0.030214,             0.73872,             0.80008,             0.82704,             0.64326,            0.019812,           0.0046283,            0.017548,            0.008614,            0.008614,            0.008614
                   9,             0.02861,            0.014268,            0.028594,             0.75889,             0.79084,               0.816,             0.65048,            0.019366,           0.0045104,            0.018503,            0.008416,            0.008416,            0.008416
                  10,            0.028724,            0.014066,            0.027145,             0.84942,             0.75345,             0.84565,             0.67927,            0.019047,           0.0043983,            0.017993,            0.008218,            0.008218,            0.008218
                  11,             0.02819,            0.013927,            0.026837,             0.83063,             0.80351,             0.85685,             0.68189,            0.019009,           0.0044752,            0.016988,             0.00802,             0.00802,             0.00802
                  12,            0.027707,            0.013905,            0.024986,             0.82173,              0.8305,             0.87905,             0.71216,            0.018008,            0.004329,            0.013994,            0.007822,            0.007822,            0.007822
                  13,            0.027251,            0.013615,            0.024119,             0.80655,             0.79261,             0.84737,             0.67987,            0.019268,           0.0043438,            0.018218,            0.007624,            0.007624,            0.007624
                  14,            0.026606,            0.013565,            0.023253,             0.73189,              0.7968,             0.84332,             0.67999,            0.017353,           0.0044695,            0.016829,            0.007426,            0.007426,            0.007426
                  15,              0.0258,            0.013475,            0.023345,             0.87048,             0.82849,             0.88908,              0.7291,            0.017471,           0.0041155,            0.014073,            0.007228,            0.007228,            0.007228
                  16,            0.026175,            0.013362,            0.023178,             0.83915,             0.76056,              0.8546,             0.68567,            0.018367,           0.0042642,            0.017471,             0.00703,             0.00703,             0.00703
                  17,             0.02591,            0.013145,            0.023264,             0.83375,             0.83149,             0.89885,             0.74301,            0.016777,            0.004428,            0.013408,            0.006832,            0.006832,            0.006832
                  18,            0.025221,            0.013288,            0.022371,             0.87343,             0.80892,             0.89195,             0.72866,            0.016879,           0.0040754,            0.014514,            0.006634,            0.006634,            0.006634
