               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06452,            0.022256,            0.062856,             0.21891,             0.59619,             0.36542,              0.2414,             0.02858,           0.0057463,            0.041183,           0.0033228,           0.0033228,            0.070095
                   1,            0.044792,             0.01648,            0.048549,             0.40667,              0.6989,             0.62958,             0.45124,            0.030341,           0.0048103,            0.027868,           0.0065243,           0.0065243,            0.039963
                   2,            0.044203,            0.014957,            0.035874,             0.83536,             0.59702,             0.70966,             0.47921,            0.030166,            0.004688,            0.024367,           0.0095939,           0.0095939,           0.0096994
                   3,            0.039108,            0.014713,             0.03482,             0.74865,             0.70362,             0.78899,             0.55233,            0.025014,           0.0045753,            0.020839,            0.009406,            0.009406,            0.009406
                   4,            0.034449,             0.01459,            0.032007,              0.7387,             0.70998,              0.7451,             0.57824,            0.020111,            0.004334,            0.025084,            0.009406,            0.009406,            0.009406
                   5,            0.032201,            0.014401,            0.029413,             0.71991,             0.75992,             0.80989,             0.61324,            0.020716,           0.0041721,             0.01882,            0.009208,            0.009208,            0.009208
                   6,            0.030527,             0.01381,            0.029032,             0.77302,              0.7815,             0.82556,             0.65458,            0.019826,           0.0042269,            0.019235,             0.00901,             0.00901,             0.00901
                   7,            0.029157,            0.013578,            0.025792,             0.79947,             0.80043,             0.86748,              0.6899,            0.018981,           0.0041348,            0.015865,            0.008812,            0.008812,            0.008812
                   8,            0.028624,            0.013361,            0.025137,             0.87082,              0.7767,             0.86845,             0.70516,            0.018718,           0.0040565,            0.016302,            0.008614,            0.008614,            0.008614
                   9,            0.028081,            0.013372,            0.024615,              0.8668,             0.84531,             0.89625,             0.72963,            0.017007,           0.0038507,            0.012959,            0.008416,            0.008416,            0.008416
                  10,            0.026693,            0.013009,            0.023471,             0.85948,             0.84468,             0.89949,             0.70143,            0.017076,           0.0038001,             0.01304,            0.008218,            0.008218,            0.008218
                  11,            0.025617,            0.012666,             0.02287,             0.89717,             0.81814,             0.88666,             0.72177,            0.018748,           0.0038384,            0.012424,             0.00802,             0.00802,             0.00802
                  12,            0.025051,            0.012709,            0.020247,             0.86382,             0.83261,             0.89328,             0.73291,            0.016009,            0.004228,            0.014108,            0.007822,            0.007822,            0.007822
                  13,            0.025453,            0.012541,            0.020809,             0.87855,             0.84221,             0.90366,             0.75102,            0.016442,           0.0038515,            0.013172,            0.007624,            0.007624,            0.007624
                  14,            0.024577,            0.012313,            0.019727,              0.8182,             0.81101,             0.88395,             0.73268,            0.018004,           0.0040307,            0.015112,            0.007426,            0.007426,            0.007426
                  15,            0.024188,            0.012217,            0.019835,              0.8757,             0.84637,             0.90666,             0.76025,            0.015121,           0.0037555,            0.014539,            0.007228,            0.007228,            0.007228
                  16,             0.02351,            0.012107,            0.019095,             0.90139,             0.83852,             0.90481,             0.76131,            0.016589,           0.0038409,            0.012832,             0.00703,             0.00703,             0.00703
                  17,            0.023131,            0.011698,             0.01778,             0.87213,             0.84179,             0.89572,             0.74545,            0.015103,           0.0036952,            0.013849,            0.006832,            0.006832,            0.006832
                  18,            0.023618,            0.011665,            0.018949,             0.89788,             0.85114,             0.91998,             0.76896,            0.015804,           0.0038933,            0.010827,            0.006634,            0.006634,            0.006634
